Gene_ID	      PH4_b1	PH4_b2
orf19.10	1.15	0.96
orf19.100	6.57	6.25
orf19.1002	4.45	4.01
orf19.1005	1.87	2.07
orf19.1007	4.37	4.74
orf19.101	5.66	5.5
orf19.1010	3.99	3.87
orf19.1011	5.51	5.61
orf19.1012	6.82	6.69
orf19.102	4.22	3.98
orf19.1026	4.57	4.45
orf19.1026.1	3.85	4.52
orf19.1027	5.2	4.9
orf19.1028	3.4	3.05
orf19.1029	3.32	3.45
orf19.103	2.77	1.47
orf19.1030	5.09	5.57
orf19.1031	5.92	6.1
orf19.1032	5.25	5.36
orf19.1033	5.79	5.79
orf19.1034	5.27	5.01
orf19.1035	4.4	4.3
orf19.1040	4.54	4.99
orf19.1036	6.73	6.54
orf19.1037	6.67	6.36
orf19.1039	4.39	4.42
orf19.104	3.02	2.23
orf19.1040	4.54	4.99
orf19.1041	5.58	5.61
